Gross_From,Gross_To,MSC,Reg_EC,Reg_Total,ER1,EE1,Reg_Total2,EC,MPF_ER,MPF_EE,MPF_Total,SSS_EE_Share,SSS_ECC,SSS_ER_Share,Total_Remittance
0,4250,4000,0,4000,380,180,560,10,0,0,0,180,10,380,570
4250,4750,4500,0,4500,427.5,202.5,630,10,0,0,0,202.5,10,427.5,640
4750,5250,5000,0,5000,475,225,700,10,0,0,0,225,10,475,710
5250,5750,5500,0,5500,522.5,247.5,770,10,0,0,0,247.5,10,522.5,780
5750,6250,6000,0,6000,570,270,840,10,0,0,0,270,10,570,850
6250,6750,6500,0,6500,617.5,292.5,910,10,0,0,0,292.5,10,617.5,920
6750,7250,7000,0,7000,665,315,980,10,0,0,0,315,10,665,990
7250,7750,7500,0,7500,712.5,337.5,1050,10,0,0,0,337.5,10,712.5,1060
7750,8250,8000,0,8000,760,360,1120,10,0,0,0,360,10,760,1130
8250,8750,8500,0,8500,807.5,382.5,1190,10,0,0,0,382.5,10,807.5,1200
8750,9250,9000,0,9000,855,405,1260,10,0,0,0,405,10,855,1270
9250,9750,9500,0,9500,902.5,427.5,1330,10,0,0,0,427.5,10,902.5,1340
9750,10250,10000,0,10000,950,450,1400,10,0,0,0,450,10,950,1410
10250,10750,10500,0,10500,997.5,472.5,1470,10,0,0,0,472.5,10,997.5,1480
10750,11250,11000,0,11000,1045,495,1540,10,0,0,0,495,10,1045,1550
11250,11750,11500,0,11500,1092.5,517.5,1610,10,0,0,0,517.5,10,1092.5,1620
11750,12250,12000,0,12000,1140,540,1680,10,0,0,0,540,10,1140,1690
12250,12750,12500,0,12500,1187.5,562.5,1750,10,0,0,0,562.5,10,1187.5,1760
12750,13250,13000,0,13000,1235,585,1820,10,0,0,0,585,10,1235,1830
13250,13750,13500,0,13500,1282.5,607.5,1890,10,0,0,0,607.5,10,1282.5,1900
13750,14250,14000,0,14000,1330,630,1960,10,0,0,0,630,10,1330,1970
14250,14750,14500,0,14500,1377.5,652.5,2030,10,0,0,0,652.5,10,1377.5,2040
14750,15250,15000,0,15000,1425,675,2100,30,0,0,0,675,30,1425,2130
15250,15750,15500,0,15500,1472.5,697.5,2170,30,0,0,0,697.5,30,1472.5,2200
15750,16250,16000,0,16000,1520,720,2240,30,0,0,0,720,30,1520,2270
16250,16750,16500,0,16500,1567.5,742.5,2310,30,0,0,0,742.5,30,1567.5,2340
16750,17250,17000,0,17000,1615,765,2380,30,0,0,0,765,30,1615,2410
17250,17750,17500,0,17500,1662.5,787.5,2450,30,0,0,0,787.5,30,1662.5,2480
17750,18250,18000,0,18000,1710,810,2520,30,0,0,0,810,30,1710,2550
18250,18750,18500,0,18500,1757.5,832.5,2590,30,0,0,0,832.5,30,1757.5,2620
18750,19250,19000,0,19000,1805,855,2660,30,0,0,0,855,30,1805,2690
19250,19750,19500,0,19500,1852.5,877.5,2730,30,0,0,0,877.5,30,1852.5,2760
19750,20250,20000,0,20000,1900,900,2800,30,0,0,0,900,30,1900,2830
20250,20750,20000,500,20500,1900,900,2800,30,47.5,22.5,70,922.5,30,1947.5,2900
20750,21250,20000,1000,21000,1900,900,2800,30,95,45,140,945,30,1995,2970
21250,21750,20000,1500,21500,1900,900,2800,30,142.5,67.5,210,967.5,30,2042.5,3040
21750,22250,20000,2000,22000,1900,900,2800,30,190,90,280,990,30,2090,3110
22250,22750,20000,2500,22500,1900,900,2800,30,237.5,112.5,350,1012.5,30,2137.5,3180
22750,23250,20000,3000,23000,1900,900,2800,30,285,135,420,1035,30,2185,3250
23250,23750,20000,3500,23500,1900,900,2800,30,332.5,157.5,490,1057.5,30,2232.5,3320
23750,24250,20000,4000,24000,1900,900,2800,30,380,180,560,1080,30,2280,3390
24250,24750,20000,4500,24500,1900,900,2800,30,427.5,202.5,630,1102.5,30,2327.5,3460
24750,25250,20000,5000,25000,1900,900,2800,30,475,225,700,1125,30,2375,3530
25250,25750,20000,5500,25500,1900,900,2800,30,522.5,247.5,770,1147.5,30,2422.5,3600
25750,26250,20000,6000,26000,1900,900,2800,30,570,270,840,1170,30,2470,3670
26250,26750,20000,6500,26500,1900,900,2800,30,617.5,292.5,910,1192.5,30,2517.5,3740
26750,27250,20000,7000,27000,1900,900,2800,30,665,315,980,1215,30,2565,3810
27250,27750,20000,7500,27500,1900,900,2800,30,712.5,337.5,1050,1237.5,30,2612.5,3880
27750,28250,20000,8000,28000,1900,900,2800,30,760,360,1120,1260,30,2660,3950
28250,28750,20000,8500,28500,1900,900,2800,30,807.5,382.5,1190,1282.5,30,2707.5,4020
28750,29250,20000,9000,29000,1900,900,2800,30,855,405,1260,1305,30,2755,4090
29250,29750,20000,9500,29500,1900,900,2800,30,902.5,427.5,1330,1327.5,30,2802.5,4160
29750,infinity,20000,10000,30000,1900,900,2800,30,950,450,1400,1350,30,2850,4230
